Device : ;PAX1000IR2/M
Serial Number : ;M00534359
Firmware Version : ;1.0.13
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-05 15:25:47.21;0.00:00:00:052;-0.45;0.85;-0.26;0.04173;-0.0203;0.03808;-0.01168;59.03;-7.57;107.12;27.99;103.40;0.04173;0.04471;-0.002973;-13.795;-13.496;-99.990;0.27;-17.05;
2023-05-05 15:25:47.26;0.00:00:00:103;-0.45;0.85;-0.26;0.04177;-0.02036;0.03823;-0.01168;59.02;-7.54;107.41;27.96;103.71;0.04177;0.04486;-0.003094;-13.792;-13.481;-99.990;0.27;-16.98;
2023-05-05 15:25:47.31;0.00:00:00:152;-0.45;0.85;-0.26;0.04179;-0.0204;0.03825;-0.01164;59.04;-7.51;107.40;27.84;103.73;0.04179;0.04489;-0.003095;-13.789;-13.479;-99.990;0.27;-16.92;
2023-05-05 15:25:47.35;0.00:00:00:200;-0.45;0.85;-0.26;0.04177;-0.02035;0.03825;-0.01164;59.00;-7.52;107.41;27.87;103.73;0.04177;0.04486;-0.003094;-13.792;-13.481;-99.990;0.27;-16.92;
2023-05-05 15:25:47.41;0.00:00:00:253;-0.46;0.85;-0.26;0.04172;-0.02049;0.03816;-0.01163;59.12;-7.51;107.51;27.87;103.83;0.04172;0.04485;-0.003132;-13.797;-13.483;-99.990;0.27;-16.94;
2023-05-05 15:25:47.46;0.00:00:00:303;-0.46;0.85;-0.26;0.04169;-0.02049;0.03817;-0.01159;59.12;-7.49;107.57;27.81;103.91;0.04169;0.04484;-0.003154;-13.800;-13.483;-99.990;0.27;-16.90;
2023-05-05 15:25:47.50;0.00:00:00:350;-0.46;0.85;-0.26;0.04182;-0.02043;0.03811;-0.01157;59.10;-7.49;107.03;27.67;103.39;0.04182;0.04476;-0.00294;-13.786;-13.491;-99.990;0.27;-16.89;
2023-05-05 15:25:47.55;0.00:00:00:398;-0.45;0.85;-0.26;0.04175;-0.02032;0.03824;-0.01164;59.00;-7.52;107.39;27.88;103.71;0.04175;0.04484;-0.003085;-13.793;-13.483;-99.990;0.27;-16.93;
2023-05-05 15:25:47.60;0.00:00:00:448;-0.46;0.85;-0.26;0.04176;-0.02036;0.03812;-0.01161;59.05;-7.52;107.16;27.81;103.49;0.04176;0.04475;-0.002991;-13.793;-13.492;-99.990;0.27;-16.94;
2023-05-05 15:25:47.68;0.00:00:00:526;-0.46;0.85;-0.26;0.04174;-0.02042;0.03821;-0.01162;59.06;-7.51;107.46;27.84;103.79;0.04174;0.04485;-0.003113;-13.794;-13.482;-99.990;0.27;-16.92;
