"","Channel A Ave. (mV)","Channel B Ave. (mV)","Channel C Ave. (mV)","Channel D Ave. (mV)"
"00:00:00.000","47.487","25.967","49.348","78.256"
"00:00:00.001","49.841","26.359","49.348","78.256"
"00:00:00.002","48.663","25.179","49.348","78.256"
"00:00:00.003","46.701","25.179","48.958","77.862"
"00:00:00.004","45.524","25.573","48.567","77.074"
"00:00:00.005","46.702","25.573","48.958","77.468"
"00:00:00.006","48.271","26.753","48.958","77.468"
"00:00:00.007","47.877","26.753","48.567","77.468"
"00:00:00.008","47.485","25.965","49.350","77.862"
"00:00:00.009","46.701","24.786","49.350","77.468"
"00:00:00.010","47.093","25.179","48.958","77.468"
"00:00:00.011","47.877","25.573","49.348","77.862"
"00:00:00.012","47.877","24.787","48.958","77.862"
"00:00:00.013","49.055","24.787","48.958","78.256"
"00:00:00.014","48.663","24.393","49.348","78.649"
"00:00:00.015","46.701","24.787","49.348","78.256"
"00:00:00.016","46.309","25.181","48.958","78.256"
"00:00:00.017","46.309","25.181","48.958","78.256"
"00:00:00.018","46.701","25.181","49.348","77.862"
"00:00:00.019","47.879","25.573","49.348","77.862"
"00:00:00.020","48.665","25.965","49.741","78.256"
"00:00:00.021","48.271","26.359","49.741","78.256"
"00:00:00.022","47.877","25.967","49.348","77.862"
"00:00:00.023","47.877","24.000","49.348","77.862"
"00:00:00.024","48.271","24.392","49.741","78.256"
"00:00:00.025","48.271","25.573","49.741","78.649"
"00:00:00.026","47.485","25.573","49.348","78.649"
"00:00:00.027","47.485","25.965","49.348","78.256"
"00:00:00.028","47.093","25.179","49.348","77.862"
"00:00:00.029","47.487","25.179","49.348","77.862"
"00:00:00.030","48.271","24.786","49.348","77.862"
"00:00:00.031","47.485","24.000","49.348","78.256"
"00:00:00.032","48.271","24.393","49.348","78.649"
"00:00:00.033","48.271","24.787","48.958","78.256"
"00:00:00.034","49.055","25.181","48.958","77.862"
"00:00:00.035","49.841","25.181","49.348","77.862"
"00:00:00.036","47.487","25.181","49.348","78.256"
"00:00:00.037","47.487","24.393","49.741","78.649"
"00:00:00.038","48.271","24.000","50.133","78.649"
"00:00:00.039","45.915","25.573","49.741","78.256"
"00:00:00.040","46.309","25.573","49.348","77.862"
"00:00:00.041","48.271","24.393","49.348","77.862"
"00:00:00.042","48.271","25.179","49.348","78.256"
"00:00:00.043","47.879","25.573","49.348","78.649"
"00:00:00.044","47.093","25.573","49.348","78.256"
"00:00:00.045","47.093","25.965","49.348","77.862"
"00:00:00.046","47.093","25.965","49.348","77.862"
"00:00:00.047","48.271","25.573","49.348","77.862"
"00:00:00.048","48.271","26.754","49.348","77.862"
"00:00:00.049","46.309","26.754","49.348","77.862"
"00:00:00.050","46.309","26.360","49.348","77.862"
"00:00:00.051","47.485","26.753","49.348","77.862"
"00:00:00.052","47.093","26.359","48.958","77.862"
"00:00:00.053","45.917","25.967","48.958","77.862"
"00:00:00.054","45.917","26.360","49.348","77.862"
"00:00:00.055","45.917","26.753","49.348","77.862"
"00:00:00.056","45.917","23.998","49.348","77.862"
"00:00:00.057","46.701","24.392","49.348","77.862"
"00:00:00.058","46.701","25.967","49.348","77.862"
"00:00:00.059","47.093","26.754","49.348","78.256"
"00:00:00.060","47.877","27.146","49.348","78.256"
"00:00:00.061","47.877","25.965","48.958","77.468"
"00:00:00.062","49.055","25.965","48.958","77.074"
"00:00:00.063","48.271","26.359","49.348","77.468"
"00:00:00.064","46.701","26.359","49.348","78.256"
"00:00:00.065","47.879","25.573","49.348","78.256"
"00:00:00.066","47.879","24.393","48.958","77.862"
"00:00:00.067","47.879","24.786","48.958","77.862"
"00:00:00.068","47.487","25.179","48.958","77.468"
"00:00:00.069","46.701","25.179","48.958","77.074"
"00:00:00.070","47.093","24.786","49.348","77.468"
"00:00:00.071","47.093","24.786","49.348","77.862"
"00:00:00.072","47.093","25.573","49.348","77.862"
"00:00:00.073","47.093","25.573","49.348","77.862"
"00:00:00.074","47.485","25.965","49.348","78.256"
"00:00:00.075","47.485","25.179","48.958","77.862"
"00:00:00.076","47.485","23.606","48.958","77.468"
"00:00:00.077","48.271","22.819","49.348","78.256"
"00:00:00.078","47.487","24.392","49.348","78.256"
"00:00:00.079","45.917","26.359","48.958","77.468"
"00:00:00.080","45.917","24.786","48.958","77.468"
"00:00:00.081","46.701","24.000","49.348","77.862"
"00:00:00.082","47.485","25.967","49.348","78.256"
"00:00:00.083","48.663","26.753","49.348","78.256"
"00:00:00.084","48.663","25.967","49.348","77.468"
"00:00:00.085","48.271","25.967","49.348","77.468"
"00:00:00.086","47.879","26.753","48.958","77.468"
"00:00:00.087","47.093","26.359","48.958","77.468"
"00:00:00.088","47.485","26.359","49.348","77.862"
"00:00:00.089","48.271","26.753","49.348","77.862"
"00:00:00.090","48.271","26.359","48.958","77.468"
"00:00:00.091","47.877","25.179","48.958","77.468"
"00:00:00.092","47.877","24.000","49.741","78.256"
"00:00:00.093","48.663","23.606","49.350","78.256"
"00:00:00.094","47.879","25.179","48.958","77.862"
"00:00:00.095","47.487","27.146","48.958","77.468"
"00:00:00.096","49.057","26.753","48.958","77.074"
"00:00:00.097","47.879","25.965","49.348","77.862"
"00:00:00.098","47.879","25.965","48.958","77.862"
"00:00:00.099","48.271","25.965","48.958","77.862"
"00:00:00.100","47.879","26.359","49.348","77.862"
"00:00:00.101","47.487","25.967","49.741","77.862"
"00:00:00.102","47.093","25.181","49.350","77.862"
"00:00:00.103","47.093","25.181","48.958","77.074"
"00:00:00.104","46.701","25.573","49.348","77.074"
"00:00:00.105","47.485","25.179","49.348","77.074"
"00:00:00.106","48.271","25.179","49.348","77.074"
"00:00:00.107","49.057","25.179","49.348","77.468"
"00:00:00.108","48.663","23.606","48.958","77.468"
"00:00:00.109","46.701","24.392","48.958","77.862"
"00:00:00.110","47.095","26.359","49.348","78.256"
"00:00:00.111","47.879","25.179","48.958","77.468"
"00:00:00.112","47.485","24.786","48.567","76.681"
"00:00:00.113","47.093","25.573","48.958","76.681"
"00:00:00.114","47.093","24.787","49.348","77.468"
"00:00:00.115","47.877","24.787","49.741","78.256"
"00:00:00.116","47.485","25.967","49.350","77.862"
"00:00:00.117","47.093","25.967","48.958","77.468"
"00:00:00.118","48.271","25.573","49.348","77.862"
"00:00:00.119","47.879","25.965","49.348","77.862"
"00:00:00.120","45.917","25.179","49.348","77.862"
"00:00:00.121","46.309","25.179","49.348","77.862"
"00:00:00.122","47.879","25.965","48.958","77.862"
"00:00:00.123","47.879","25.965","48.958","77.468"
"00:00:00.124","46.701","25.179","49.348","77.468"
"00:00:00.125","46.701","25.573","49.348","77.862"
"00:00:00.126","46.701","26.753","49.348","77.862"
"00:00:00.127","46.701","25.573","48.958","77.468"
"00:00:00.128","47.093","25.967","48.567","77.468"
"00:00:00.129","47.093","26.753","48.958","77.862"
"00:00:00.130","47.879","26.753","48.958","77.862"
"00:00:00.131","48.271","27.146","48.958","77.862"
"00:00:00.132","47.877","26.359","49.348","77.862"
"00:00:00.133","48.271","25.965","49.348","77.862"
"00:00:00.134","47.095","24.392","49.348","77.862"
"00:00:00.135","46.701","24.000","48.958","77.862"
"00:00:00.136","48.663","25.181","48.958","77.468"
"00:00:00.137","49.057","25.573","49.348","77.468"
"00:00:00.138","48.665","25.965","49.348","78.256"
"00:00:00.139","48.665","25.573","49.348","77.862"
"00:00:00.140","47.879","25.181","49.348","77.862"
"00:00:00.141","47.879","25.181","49.348","78.649"
"00:00:00.142","47.879","25.967","49.741","78.649"
"00:00:00.143","47.879","26.359","49.741","78.256"
"00:00:00.144","48.665","25.179","49.348","77.862"
"00:00:00.145","49.449","27.148","48.958","77.468"
"00:00:00.146","49.841","27.148","48.958","77.862"
"00:00:00.147","48.663","23.606","49.348","78.649"
"00:00:00.148","47.093","23.606","48.958","77.862"
"00:00:00.149","46.701","24.787","48.958","77.862"
"00:00:00.150","46.701","26.754","49.348","78.256"
"00:00:00.151","47.487","27.540","49.348","77.468"
"00:00:00.152","47.095","26.359","49.348","77.468"
"00:00:00.153","46.701","25.965","49.348","77.862"
"00:00:00.154","46.701","25.573","49.348","78.256"
"00:00:00.155","45.917","25.573","49.348","78.256"
"00:00:00.156","46.309","25.573","49.348","78.256"
"00:00:00.157","47.879","25.181","49.348","77.862"
"00:00:00.158","49.057","25.181","49.348","77.468"
"00:00:00.159","49.057","25.967","49.741","78.256"
"00:00:00.160","48.271","25.573","49.741","78.649"
"00:00:00.161","46.309","24.787","49.348","78.649"
"00:00:00.162","45.524","25.967","49.741","79.041"
"00:00:00.163","47.095","25.967","50.133","79.041"
"00:00:00.164","49.449","25.967","50.133","78.649"
"00:00:00.165","49.055","26.359","49.741","78.256"
"00:00:00.166","47.877","25.573","49.741","78.256"
"00:00:00.167","47.877","26.360","49.350","77.862"
"00:00:00.168","47.877","25.179","48.958","77.468"
"00:00:00.169","46.701","24.786","49.348","77.862"
"00:00:00.170","46.309","26.753","48.958","77.862"
"00:00:00.171","47.879","26.359","48.958","77.862"
"00:00:00.172","48.271","25.179","49.348","78.256"
"00:00:00.173","48.271","24.787","49.348","78.256"
"00:00:00.174","48.665","25.181","49.348","77.468"
"00:00:00.175","47.879","25.181","49.348","77.468"
"00:00:00.176","47.879","25.181","49.348","77.862"
"00:00:00.177","47.879","25.573","48.958","77.862"
"00:00:00.178","45.917","25.179","48.958","77.862"
"00:00:00.179","45.917","24.393","49.348","77.862"
"00:00:00.180","47.879","25.179","48.958","77.468"
"00:00:00.181","47.487","25.573","48.958","77.862"
"00:00:00.182","47.879","25.573","49.348","77.862"
"00:00:00.183","48.271","25.965","49.348","77.862"
"00:00:00.184","47.485","25.573","48.958","77.468"
"00:00:00.185","47.093","25.573","48.958","77.074"
"00:00:00.186","46.701","25.965","48.958","77.074"
"00:00:00.187","47.879","25.965","48.567","76.681"
"00:00:00.188","47.095","25.573","48.958","77.468"
"00:00:00.189","46.309","26.360","48.958","77.468"
"00:00:00.190","47.485","26.753","48.958","77.468"
"00:00:00.191","47.093","25.965","49.348","77.862"
"00:00:00.192","46.701","24.786","48.958","77.862"
"00:00:00.193","45.523","24.000","48.958","77.862"
"00:00:00.194","44.739","24.393","49.348","77.862"
"00:00:00.195","47.487","24.000","49.348","77.862"
"00:00:00.196","47.095","24.393","49.348","77.862"
"00:00:00.197","46.702","24.787","49.348","77.862"
"00:00:00.198","48.665","24.393","49.348","77.862"
"00:00:00.199","47.879","24.787","49.348","77.862"
"00:00:00.200","47.093","24.787","49.348","77.862"
"00:00:00.201","47.485","24.787","49.348","77.862"
"00:00:00.202","46.701","25.573","49.348","77.862"
"00:00:00.203","46.309","25.179","48.958","77.468"
"00:00:00.204","47.879","24.000","48.958","77.468"
"00:00:00.205","48.271","25.179","49.741","78.256"
"00:00:00.206","47.485","25.967","49.350","77.862"
"00:00:00.207","47.485","26.360","48.958","77.468"
"00:00:00.208","48.663","26.360","49.741","78.648"
"00:00:00.209","49.449","24.393","49.741","78.648"
"00:00:00.210","48.271","23.606","49.348","78.256"
"00:00:00.211","46.701","24.000","49.348","78.256"
"00:00:00.212","47.093","25.179","49.348","77.862"
"00:00:00.213","47.877","25.573","49.348","78.256"
"00:00:00.214","46.701","25.967","49.741","78.649"
"00:00:00.215","45.917","25.967","49.741","78.256"
"00:00:00.216","46.701","25.181","49.741","78.648"
"00:00:00.217","47.093","24.787","49.741","79.041"
"00:00:00.218","47.485","24.393","49.348","78.256"
"00:00:00.219","48.663","25.179","49.348","77.862"
"00:00:00.220","47.879","25.573","49.348","77.862"
"00:00:00.221","46.309","25.967","49.348","77.862"
"00:00:00.222","46.701","27.540","49.741","78.256"
"00:00:00.223","47.485","26.360","50.133","78.649"
"00:00:00.224","46.701","24.787","49.741","78.256"
"00:00:00.225","47.487","25.181","49.741","78.648"
"00:00:00.226","48.271","24.393","50.133","79.041"
"00:00:00.227","47.879","23.606","49.741","78.256"
"00:00:00.228","47.879","25.179","49.348","77.862"
"00:00:00.229","47.485","27.540","49.348","77.468"
"00:00:00.230","48.663","27.540","49.348","77.468"
"00:00:00.231","47.879","25.967","49.348","77.862"
"00:00:00.232","46.701","24.787","49.741","78.256"
"00:00:00.233","47.485","23.606","49.350","78.256"
"00:00:00.234","48.271","23.606","48.958","77.862"
"00:00:00.235","48.271","25.179","49.348","77.862"
"00:00:00.236","46.309","25.179","49.348","77.862"
"00:00:00.237","46.702","24.787","49.348","78.256"
"00:00:00.238","47.095","25.573","48.958","77.862"
"00:00:00.239","45.132","25.965","48.958","77.468"
"00:00:00.240","46.309","27.146","49.348","77.862"
"00:00:00.241","47.877","27.146","48.958","77.468"
"00:00:00.242","46.701","27.146","48.958","77.468"
"00:00:00.243","46.309","26.754","48.958","77.468"
"00:00:00.244","47.485","25.573","48.567","77.468"
"00:00:00.245","47.485","26.359","48.958","77.862"
"00:00:00.246","47.485","26.359","49.348","77.468"
"00:00:00.247","47.093","26.359","49.348","77.468"
"00:00:00.248","46.701","25.967","49.348","77.862"
"00:00:00.249","47.093","24.787","48.958","77.468"
"00:00:00.250","47.485","24.000","48.958","77.468"
"00:00:00.251","47.485","24.393","48.958","77.468"
"00:00:00.252","47.093","26.754","48.958","77.074"
"00:00:00.253","47.879","26.754","49.348","77.468"
"00:00:00.254","47.487","24.393","49.348","78.256"
"00:00:00.255","47.879","23.606","49.348","78.649"
"00:00:00.256","49.057","24.393","49.348","78.649"
"00:00:00.257","48.271","24.393","49.348","78.256"
"00:00:00.258","47.877","24.786","48.958","77.862"
"00:00:00.259","47.093","25.179","48.958","78.256"
"00:00:00.260","47.093","24.787","49.348","78.649"
"00:00:00.261","49.055","25.181","49.348","78.256"
"00:00:00.262","48.271","24.787","49.348","77.862"
"00:00:00.263","47.093","24.000","49.348","77.862"
"00:00:00.264","47.877","24.786","49.348","77.862"
"00:00:00.265","47.877","25.179","49.741","78.256"
"00:00:00.266","47.877","24.393","49.741","78.649"
"00:00:00.267","46.701","24.393","49.348","78.649"
"00:00:00.268","46.701","25.179","49.348","78.256"
"00:00:00.269","47.093","25.965","49.348","77.862"
"00:00:00.270","46.701","25.179","49.741","78.256"
"00:00:00.271","47.093","24.393","49.741","78.256"
"00:00:00.272","46.701","25.573","49.348","77.862"
"00:00:00.273","45.917","25.573","49.741","78.256"
"00:00:00.274","47.095","25.179","49.741","78.256"
"00:00:00.275","48.271","24.786","49.348","77.862"
"00:00:00.276","47.485","25.179","49.348","77.468"
"00:00:00.277","46.309","25.967","49.348","77.468"
"00:00:00.278","45.917","26.360","49.348","77.862"
"00:00:00.279","46.701","27.540","48.958","77.468"
"00:00:00.280","46.309","26.360","48.958","77.862"
"00:00:00.281","46.309","24.393","49.741","78.649"
"00:00:00.282","47.485","24.393","49.741","78.256"
"00:00:00.283","47.485","24.787","48.958","77.468"
"00:00:00.284","47.093","25.573","49.350","77.862"
"00:00:00.285","47.093","24.392","49.741","78.256"
"00:00:00.286","47.093","23.998","49.741","77.862"
"00:00:00.287","46.701","24.786","50.133","78.648"
